,0
141,-35496.333333333336
142,-39148.666666666664
143,-39667.16666666668
144,-42914.83333333336
145,-42436.166666666686
146,-42804.00000000001
147,-41311.833333333336
148,-37343.166666666664
149,-41516.833333333336
150,-39735.5
151,-41336.500000000015
152,-42118.666666666664
153,-40231.5
154,-40306.00000000001
155,-43426.5
156,-39612.33333333333
157,-42136.33333333333
158,-45531.16666666666
159,-38393.50000000001
160,-40323.33333333333
161,-39331.666666666664
162,-40516.500000000015
163,-41026.16666666665
164,-43001.66666666666
165,-43408.33333333335
166,-42735.33333333332
167,-43655.49999999998
168,-42724.333333333336
169,-35375.99999999999
170,-41597.16666666667
171,-41453.66666666665
172,-42294.0
173,-38240.0
174,-36241.16666666668
175,-41063.33333333333
176,-42406.166666666664
177,-39993.33333333333
178,-41015.83333333333
179,-39703.0
180,-44330.33333333335
181,-41263.5
182,-41831.333333333336
183,-33714.333333333336
184,-43625.16666666665
185,-40494.499999999985
186,-36996.0
187,-39970.16666666668
188,-42166.5
189,-37812.333333333336
190,-39983.0
191,-41528.666666666664
192,-42045.50000000001
193,-41741.999999999985
194,-40697.66666666665
195,-41395.83333333332
196,-40408.33333333334
197,-39543.33333333334
198,-43690.66666666666
199,-40890.66666666667
200,-42643.666666666664
201,-39811.99999999999
202,-40765.66666666665
203,-38184.33333333334
204,-41104.66666666667
205,-43708.499999999985
206,-40399.66666666667
207,-38229.0
208,-39681.666666666664
209,-41054.83333333334
210,-37287.33333333333
211,-42240.5
212,-42401.33333333332
213,-40276.66666666667
214,-35810.5
215,-39834.16666666668
216,-38518.33333333333
217,-44307.50000000001
218,-41617.50000000001
219,-41748.49999999999
220,-41718.66666666666
221,-40745.16666666667
222,-37426.666666666664
223,-38669.5
224,-42624.666666666664
225,-42002.833333333336
226,-37770.16666666667
227,-37251.166666666664
228,-36759.16666666666
229,-37802.66666666666
230,-40615.00000000001
231,-40090.333333333336
232,-37511.166666666664
233,-35833.83333333333
234,-40750.00000000001
235,-38163.333333333314
236,-43958.0
237,-38415.33333333334
238,-37668.66666666667
239,-36959.33333333332
240,-40067.33333333333
241,-36922.16666666666
242,-37069.333333333336
243,-37963.5
244,-40091.166666666664
245,-42286.33333333333
246,-41343.833333333336
247,-41681.833333333314
248,-36748.833333333336
249,-38659.000000000015
250,-38163.166666666664
251,-40230.50000000003
252,-41617.16666666668
253,-38377.33333333333
254,-41206.5
255,-41793.666666666664
256,-38656.333333333336
257,-38396.66666666667
258,-39971.83333333336
259,-36871.833333333336
260,-39868.99999999999
261,-39901.66666666667
262,-40129.16666666666
263,-37801.33333333332
264,-37816.33333333333
265,-39592.33333333333
266,-38473.83333333333
267,-34854.16666666666
268,-38990.66666666666
269,-41001.0
270,-39904.83333333335
271,-35180.333333333336
272,-40861.16666666666
273,-38771.00000000001
274,-38053.33333333335
275,-41320.83333333333
276,-35968.83333333334
277,-38467.83333333334
278,-41190.33333333334
279,-39908.0
280,-39601.83333333334
281,-41659.49999999999
282,-37181.33333333332
283,-39996.666666666664
284,-38984.66666666666
285,-40806.33333333332
286,-39462.166666666664
287,-36616.16666666665
288,-38093.00000000001
289,-40196.33333333335
290,-39864.666666666686
291,-40943.83333333333
292,-38419.33333333333
293,-38977.83333333332
294,-41904.000000000015
295,-39399.16666666668
296,-37121.66666666666
297,-34989.666666666664
298,-43362.83333333334
299,-39666.83333333333
300,-37591.83333333333
301,-42780.0
302,-35747.83333333334
303,-41493.66666666668
304,-41871.83333333334
305,-39536.0
306,-35641.99999999999
307,-38543.49999999999
308,-36838.83333333333
309,-41777.66666666666
310,-34994.166666666664
311,-34612.666666666664
312,-40009.5
313,-35716.500000000015
314,-37538.666666666664
315,-37726.33333333333
316,-38101.500000000015
317,-34680.66666666667
318,-38051.00000000002
319,-31154.833333333332
320,-39493.83333333336
321,-33421.333333333336
322,-40190.999999999985
323,-38271.66666666666
324,-34115.66666666667
325,-41627.50000000001
326,-37380.16666666667
327,-34589.999999999985
328,-36138.499999999985
329,-33478.16666666668
330,-39505.66666666667
331,-38576.00000000001
332,-36635.833333333336
333,-38387.33333333334
334,-36051.83333333333
335,-34996.83333333333
336,-36332.666666666664
337,-38696.33333333332
338,-37730.166666666664
339,-34820.83333333332
340,-40662.66666666667
341,-39961.83333333333
342,-37165.83333333333
343,-37620.33333333332
344,-37113.166666666664
345,-37967.83333333334
346,-37181.5
347,-34783.33333333335
348,-34005.500000000015
349,-34886.66666666667
350,-39541.50000000001
351,-36538.16666666667
352,-36096.66666666668
353,-35207.0
354,-32896.0
355,-39700.0
356,-36843.666666666664
357,-37104.49999999999
358,-40568.66666666667
359,-31219.833333333343
360,-39056.166666666664
361,-31894.16666666666
362,-40484.83333333332
363,-35628.000000000015
364,-35617.166666666664
365,-32573.50000000001
366,-40220.50000000001
367,-40037.66666666666
368,-40146.5
369,-35108.499999999985
370,-32973.500000000015
371,-32623.333333333332
372,-35990.16666666667
373,-37098.50000000001
374,-35048.16666666667
375,-35803.5
376,-36211.49999999999
377,-34734.833333333336
378,-39926.83333333333
379,-35271.0
380,-37525.99999999999
381,-37482.33333333333
382,-40041.333333333336
383,-37444.66666666667
384,-38744.16666666666
385,-39374.66666666667
386,-38147.66666666668
387,-35233.5
388,-34162.833333333336
389,-36539.00000000001
390,-37783.00000000001
391,-34320.00000000001
392,-34786.66666666666
393,-34424.00000000001
394,-32342.500000000004
395,-37991.833333333336
396,-31298.83333333333
397,-35337.500000000015
398,-33087.0
399,-32095.49999999999
400,-34834.66666666666
401,-35864.49999999999
402,-28934.333333333332
