,0
233,-38188.117490033306
234,-41280.30205867688
235,-32598.960173447933
236,-29364.578816215195
237,-37240.45284062624
238,-38908.00415396691
239,-34666.40368610621
240,-39088.66937088968
241,-34857.53225845098
242,-29988.752918005
243,-38713.902977625534
244,-37502.85610548655
245,-34419.08292724689
246,-32537.121581494815
247,-32958.88651639224
248,-37527.37837600707
249,-37547.270277222
250,-39586.30942734083
251,-35901.66481939951
252,-35775.41850552957
253,-24634.310503284138
254,-31732.86335164307
255,-36558.754959305115
256,-33099.0009909471
257,-36527.55537148316
258,-37184.806111812584
259,-37116.44312606255
260,-29600.37693874042
261,-33193.38762434324
262,-32671.19331951937
263,-38145.56729549168
264,-35715.41559422017
265,-39453.95871710777
266,-32661.54285224279
267,-38547.421309709534
268,-38381.93341845275
269,-36279.1200063626
270,-35133.007979651295
271,-34523.2659799258
272,-34823.48369191091
273,-37103.16973465681
274,-32755.809955934692
275,-38134.15074702104
276,-29724.918408473328
277,-34983.20332169534
278,-38832.5256553491
279,-28729.442918777477
280,-36482.30530746779
281,-31726.268127659954
282,-36820.08583664894
283,-37803.124987502895
284,-29153.478426138565
285,-34068.24210349718
286,-35911.15257799627
287,-37904.72476035357
288,-34958.49034961064
289,-33901.51325980821
290,-33249.4633589387
291,-34400.19350397586
292,-31591.513921101887
293,-34693.70155481497
294,-36535.79038540521
295,-35980.869127829865
296,-27334.792342066758
297,-34225.41034424305
298,-32340.65825754405
299,-34622.70006950697
300,-35259.2887112697
301,-25866.845850030582
302,-36641.69827846686
303,-34386.65666552385
304,-35729.73477506639
305,-32599.90868546565
306,-31150.655915300056
307,-38332.57900881769
308,-33158.52802145481
309,-31251.01862450441
310,-31031.254284938183
311,-31912.72711974382
312,-32689.72387836377
313,-33216.461313307285
314,-37411.76579932372
315,-35511.41452044248
316,-37767.69739600023
317,-31431.381453792248
318,-34092.28468096256
319,-34464.841030617565
320,-34930.18694065014
321,-29516.60780072212
322,-31355.138667543717
323,-29021.783510684967
324,-34372.4234767755
325,-23195.278159340218
326,-37165.99089239041
327,-34822.469766179725
328,-36038.05586582424
329,-39509.24563350279
330,-35729.99702741702
331,-33421.972707211964
332,-37665.4370225668
333,-30198.36116480828
334,-32056.6633951664
335,-34885.83825083575
336,-36475.018350839615
337,-33741.037962317474
338,-34723.726682563625
339,-33020.958245793976
340,-36779.14915678899
341,-36510.60406074922
342,-36250.59871530532
343,-37106.40382907788
344,-33194.2603525122
345,-30470.577248533562
346,-31206.948868711785
347,-34586.06620893876
348,-36510.64953573545
349,-33417.85570561886
350,-38242.10649001599
351,-35588.53726275763
352,-33100.329028129585
353,-34299.4318333467
354,-36055.40477764605
355,-34501.219250440605
356,-34307.565356016145
357,-33494.334789295994
358,-32499.860881209377
359,-36072.93218274912
360,-34017.40801978112
361,-35574.64549158018
362,-35494.78739257653
363,-31601.75260694822
364,-30705.01682098707
365,-28701.658738255494
366,-32477.383000969865
367,-32570.305562337246
368,-28664.96093197664
369,-34958.11349813143
370,-30198.817503452297
371,-31457.084960460674
372,-32269.66147649287
373,-34887.40036984285
374,-31816.50815669696
375,-33392.1744086941
376,-35555.274254997574
377,-34610.61563746133
378,-35181.193435311325
379,-30526.277719974507
380,-35693.86682923634
381,-33296.570865352944
382,-29088.02816307544
383,-30206.848517398037
384,-27296.989723642666
385,-32166.959300239876
386,-33467.324750860535
387,-29553.271918574974
388,-32870.35407781601
389,-31895.33436357976
390,-31508.600521445267
391,-28954.687206347775
392,-27078.438345948856
393,-32093.7341016531
394,-38638.251568198204
395,-31420.405713717144
396,-30592.13708790143
397,-35923.412181139
398,-32293.486906051636
399,-32640.14965124924
400,-32609.403770168614
401,-27924.128057479855
402,-33400.68394132455
403,-27935.512161890652
404,-35368.541008591645
405,-29388.63083990415
406,-31259.95499531428
407,-29352.596968015027
408,-31713.402972062428
409,-28698.336951573692
410,-30349.820564667385
411,-36317.92828897636
412,-33770.46115672588
413,-34936.179193139076
414,-34067.527554909386
415,-28920.752959370613
416,-34829.06152820587
417,-35980.697910030685
418,-31806.085770567257
419,-33961.832786520325
420,-38881.9433815082
421,-30529.530436456203
422,-31089.969177206356
423,-33236.60174369813
424,-38315.73834681512
425,-38710.94514731566
426,-33268.07370785872
427,-34748.89201239744
428,-30961.09779409568
429,-34183.72244687875
430,-39380.49631981057
431,-39290.0090248982
432,-37382.17004168033
433,-32432.044049839176
434,-35506.50923701128
435,-36732.13225082556
436,-32970.339523394905
437,-35156.479455788925
438,-36325.16301751136
439,-33762.23433216413
440,-34748.57144411406
441,-35163.25880122185
442,-39469.461808284126
443,-35465.884501298264
444,-31338.490552306183
445,-37383.459235707924
446,-39400.12400432428
447,-33491.90403246879
448,-38123.46214393775
449,-29928.075249075893
450,-36905.01201220354
451,-31900.815662781406
452,-33770.49725743135
453,-37749.47785703342
454,-34711.526755650826
455,-37780.06894004346
456,-31470.826250116028
457,-33361.46477282047
458,-37206.572193900734
459,-37046.43892614047
460,-38936.59558737279
461,-35618.90810795625
462,-40093.73807187876
463,-37950.455522219345
464,-34363.88317064444
465,-31871.225600997597
466,-35791.634712934494
467,-34879.81075286867
468,-34352.512477397926
469,-37728.50161540508
470,-30594.3456286788
471,-36586.795789440475
472,-36152.41147120794
473,-33060.40803384781
474,-36523.64618412654
475,-37076.31363228958
476,-39955.02476656438
477,-36738.63397387663
478,-40565.36849304039
479,-38359.45669849714
480,-36131.30247116088
481,-31856.55541507403
482,-34621.965949138015
483,-37854.7828569015
484,-37156.94485747815
485,-38756.25164047878
486,-35328.257837613426
487,-41704.861199299485
488,-33456.72815585137
489,-31222.28965018193
490,-33859.30715660254
491,-34363.300038337715
492,-36668.99367948375
493,-34457.04713932674
494,-30724.01657370726
495,-38375.7988836964
496,-34462.881460686534
497,-36134.84117511909
498,-42939.557217081376
499,-40147.984695633255
500,-29030.6367218097
501,-35268.602518220745
502,-39172.09405612945
503,-23775.083525220554
504,-38366.23675906658
505,-33345.088453571
506,-41389.59971666337
507,-35616.23774937789
508,-45663.920206765324
509,-41458.37650851408
510,-28083.551253437996
511,-33980.979714274414
512,-35648.98273426294
513,-40289.20210035642
514,-37250.664105196796
515,-34427.66340543827
516,-31446.51125327746
517,-33980.99082926911
518,-28517.68837300937
519,-27164.005340218548
520,-27981.06971398989
521,-37486.036089658744
522,-38963.333117604256
523,-24836.192379951484
524,-44426.026135126755
525,-30683.28961745898
526,-37269.02483125528
527,-38070.49715391795
528,-32375.898809353508
529,-40226.01162898541
530,-21882.5696096023
531,-25233.995903333016
532,-31503.957232832916
533,-35099.12998292844
534,-34717.006355086975
535,-34307.06650586923
536,-32372.327534397442
537,-33508.05450532834
538,-33847.355479816586
539,-34744.79279859862
540,-39121.22972295682
541,-37260.447866559036
542,-42234.8301687042
543,-33831.31271485488
544,-35652.48841849964
545,-39669.74578662714
546,-41542.3671250542
547,-32591.867046475407
548,-31205.82866664728
549,-36552.65342835585
550,-28712.00845686595
551,-40156.120546042934
552,-37307.88143330813
553,-30560.294549226768
554,-34238.47841354212
555,-37266.00361317397
556,-38479.292496363305
557,-34736.501278738186
558,-37448.846920768425
559,-30843.99725608031
560,-30458.619290590304
561,-26033.05341732502
562,-36627.5233989954
563,-38620.11689174175
564,-28215.57541298867
565,-33379.29017043114
566,-32844.18763991198
567,-35099.913380006954
568,-31900.516532142956
569,-33638.468309084565
570,-27749.614944378543
571,-34240.06442660095
572,-41345.34908135733
573,-21000.104533433918
574,-32574.6504692038
575,-30912.339218815174
576,-31947.675564765927
577,-31323.44327056409
578,-31629.83435384433
579,-27283.6942961216
580,-30956.303368608154
581,-19142.25713479519
582,-32945.86266402404
583,-35871.861229916416
584,-33719.38595022759
585,-33192.26133704186
586,-31051.88948218029
587,-32334.993149936206
588,-36943.14024015268
589,-34538.51598757505
590,-32686.255668699745
591,-32168.630858421322
592,-32181.125607331596
593,-30504.564711014435
594,-30096.094588180385
595,-28816.470763643578
596,-27151.337984720874
597,-30696.704966366302
598,-28472.47301431498
599,-38754.47098493575
600,-33105.37474254768
601,-28363.154606699944
602,-29447.26841394107
603,-31934.135683377597
604,-31010.3972577254
605,-31305.869345108666
606,-32173.424513220794
607,-27888.508218308292
608,-29163.86670033137
609,-29685.410158634182
610,-34795.33677266042
611,-28411.398685057968
612,-32488.879989941925
613,-35068.4853056272
614,-33578.82538751761
615,-30048.730125447124
616,-24471.176886479065
617,-21967.265926758446
618,-37138.01772415638
619,-19679.3063091437
620,-31791.015034238502
621,-30178.320097823933
622,-33287.206554094955
623,-32292.337951580696
624,-30990.358713368576
625,-36931.44987972577
626,-29199.954112291343
627,-30860.81145465374
628,-31869.09125840665
629,-27269.535764932636
630,-29147.36073601247
631,-36528.91787926357
