,0
419,-52800.66666666667
420,-50016.83333333332
421,-53013.166666666664
422,-52975.16666666666
423,-47026.33333333333
424,-47114.499999999985
425,-52359.83333333332
426,-50746.166666666664
427,-51849.99999999997
428,-51904.16666666664
429,-50514.49999999998
430,-50648.66666666665
431,-52733.833333333336
432,-47978.333333333336
433,-53272.83333333333
434,-54700.166666666635
435,-48544.83333333333
436,-56101.99999999996
437,-53109.66666666666
438,-47100.99999999999
439,-45057.33333333333
440,-50362.99999999998
441,-52324.66666666663
442,-51711.99999999996
443,-48129.333333333314
444,-51974.99999999998
445,-52726.83333333331
446,-53770.16666666664
447,-51675.333333333314
448,-51976.66666666665
449,-49071.833333333336
450,-53512.66666666666
451,-52018.16666666667
452,-53015.16666666666
453,-52663.83333333333
454,-54532.0
455,-55018.99999999999
456,-52907.00000000001
457,-50909.5
458,-53831.49999999999
459,-53904.83333333333
460,-54941.00000000001
461,-52845.66666666666
462,-50529.16666666667
463,-47532.49999999999
464,-54812.00000000001
465,-49729.83333333335
466,-46905.833333333314
467,-53254.16666666667
468,-52728.833333333336
469,-50353.333333333314
470,-54991.49999999997
471,-51060.16666666666
472,-51544.49999999999
473,-53993.49999999999
474,-56705.333333333314
475,-49546.33333333333
476,-52870.99999999998
477,-50946.0
478,-52791.16666666665
479,-54658.33333333333
480,-50368.16666666666
481,-51933.99999999999
482,-48787.666666666664
483,-51835.66666666666
484,-52557.833333333336
485,-52342.833333333336
486,-52266.16666666666
487,-55339.0
488,-53137.333333333336
489,-49961.83333333333
490,-52139.99999999999
491,-53823.33333333332
492,-50736.0
493,-48642.499999999985
494,-47646.49999999999
495,-51946.666666666664
496,-50437.66666666666
497,-50000.33333333333
498,-53181.16666666664
499,-48020.33333333332
500,-53522.83333333333
501,-51766.16666666666
502,-51658.3333333333
503,-50719.99999999999
504,-56583.833333333314
505,-48979.33333333333
506,-53677.66666666666
507,-52931.666666666664
508,-51951.66666666665
509,-48720.49999999999
510,-50538.16666666669
511,-54765.49999999999
512,-48007.333333333336
513,-47539.33333333334
514,-54560.66666666665
515,-51625.499999999985
516,-50947.33333333334
517,-53144.49999999999
518,-53389.333333333314
519,-51379.833333333314
520,-53391.0
521,-52781.500000000015
522,-52392.16666666667
523,-53416.83333333332
524,-50111.499999999985
525,-53261.999999999985
526,-55559.33333333333
527,-52065.16666666667
528,-53519.83333333333
529,-51661.16666666665
